CODICE,TIPO,DESCRIZIONE,P/D  DAL Nr.  DALLA barra  AL nr.,ALLA barra  SEZIONE,CIRC
5.630,Via,òRA DEL GARDA,D199,88,1
3.355,Piazza,"""TRIDENTE""",D127,13,12
3.355,Piazza,"""TRIDENTE""",P226,13,12
2.520,Via,A PRATO,D119,19,11
2.520,Via,A PRATO,P222,319,11
2.520,Via,A PRATO,P2452,20,11
10,Via,ABBA,D713,17,11
10,Via,ABBA,P214,17,11
20,Via,ABONDI,D149,8,12
20,Via,ABONDI,P22,8,12
30,Via,ACONCIO,D125,6,12
30,Via,ACONCIO,P22,6,12
7.875,localita',ACQUAVIVA,D315,56,8
7.875,localita',ACQUAVIVA,P610,56,8
40,Via,ADAMELLO,D117,36,10
40,Via,ADAMELLO,P248,36,10
50,Piazza,ADAMO D'AROGNO,D113,4,12
50,Piazza,ADAMO D'AROGNO,P212,4,12
60,Vicolo,ADIGE,D131,3,12
60,Vicolo,ADIGE,P218,3,12
70,Galleria,ADRIA,D35,4,12
70,Galleria,ADRIA,P44,4,12
5.010,Via,AEROPORTO,D1121,91,1
5.010,Via,AEROPORTO,P274,91,1
80,Piazzetta,AGOSTINIANI,D15,5,12
80,Piazzetta,AGOSTINIANI,P44,5,12
5.730,Via,AICHNER,D147,89,1
5.730,Via,AICHNER,P24,89,1
6.105,Via,ALBERA,D169,71,6
6.105,Via,ALBERA,P852,71,6
3.801,Via,ALBERIONE,D131,30,11
3.801,Via,ALBERIONE,P210,30,11
6.464,Via,ALBERTI POJA,D143,64,6
90,Via,ALFIERI,D913,3,12
90,Via,ALFIERI,P66,3,12
100,Corso,ALPINI,D135,10,12
100,Corso,ALPINI,P228,10,12
6.490,Via,ALTENBURGER,D19,70,6
6.490,Via,ALTENBURGER,P22,70,6
110,Via,ALTIPIANI,D13,35,10
110,Via,ALTIPIANI,P210,35,10
5.102,Via,ALTO ADIGE,D393,90,1
5.102,Via,ALTO ADIGE,P10230,90,1
5.102,Via,ALTO ADIGE,P232232,81,2
5.102,Via,ALTO ADIGE,P234250,90,1
8.600,Via,ALTO SASSO,D345,76,4
8.600,Via,ALTO SASSO,P238,76,4
120,Via,AMBROSI,D17,5,12
120,Via,AMBROSI,P220,5,12
7.264,Via,ANCóNA,D55,50,9
7.264,Via,ANCóNA,P616,50,9
5.020,Via,ANDREATTA,D133,92,1
5.020,Via,ANDREATTA,P226,92,1
CODICE,TIPO,DESCRIZIONE,P/D  DAL Nr.  DALLA barra  AL nr.,ALLA barra  SEZIONE,CIRC
8.111,Via,ANDRóNA,D17,79,3
8.111,Via,ANDRóNA,P410,79,3
130,Piazzetta,ANFITEATRO,D719,3,12
130,Piazzetta,ANFITEATRO,P618,3,12
6.001,Via,ANSELMI,D117,67,6
6.001,Via,ANSELMI,P24,67,6
140,Via,ANTONIO DA TRENTO,D125,9,12
140,Via,ANTONIO DA TRENTO,P224,9,12
150,Via,ANZOLETTI,D15,32,10
150,Via,ANZOLETTI,P232,32,10
160,Via,AOSTA,D117,33,10
160,Via,AOSTA,P430,33,10
8.601,Salita,APIARIO,D15,76,4
8.601,Salita,APIARIO,P28,76,4
170,Via,APOLLONIO,D127,33,10
5.615,Via,APRILE (1945),P44,87,1
1.770,Lungadige,APULEIO,P262,94,12
8.000,Via,ARE,D157,98,3
8.000,Via,ARE,P48,98,3
8.211,Strada,ARIòL,D1121,80,3
8.211,Strada,ARIòL,P48,80,3
7.010,Via,ASIAGO,D117,652,9
7.010,Via,ASIAGO,P212,52,9
7.010,Via,ASIAGO,P1414,45,10
5.030,Via,ASILO,D361,92,1
5.030,Via,ASILO,P232,92,1
190,Via,ASILO PEDROTTI (PIETRO),D115,25,11
190,Via,ASILO PEDROTTI (PIETRO),P220,25,11
8.472,Piazza,ASSUNTA,D127,82,2
8.472,Piazza,ASSUNTA,P228,82,2
200,Via,AVANCINI,D17,20,11
200,Via,AVANCINI,P226,20,11
5.038,Via,AVISIO,D915,84,1
5.038,Via,AVISIO,P220,84,1
6.050,Via,BòLLERI,D171,68,6
6.050,Via,BòLLERI,P252,68,6
6.466,Via,BòLNER,P48,66,6
8.112,Strada,BACANDI,P822,79,3
7.020,Via,BANALA,D115,50,9
7.020,Via,BANALA,P222,50,9
210,Via,BARBACOVI,D19,23,11
210,Via,BARBACOVI,P242,23,11
220,Via,BARTOLAMEO DA TRENTO,P214,4,12
5.040,Via,BASSA,D321,89,1
5.040,Via,BASSA,P242,89,1
5.040,Via,BASSA,P4444,16,12
6.003,Via,BASSANO,D315,68,6
6.003,Via,BASSANO,P44,13,12
6.003,Via,BASSANO,P88,68,6
6.003,Via,BASSANO,P1014,13,12
6.003,Via,BASSANO,P2830,66,6
3.835,Via,BASSETTI,D111,52,9
3.835,Via,BASSETTI,P28,46,10
CODICE,TIPO,DESCRIZIONE,P/D  DAL Nr.  DALLA barra  AL nr.,ALLA barra  SEZIONE,CIRC
230,Piazza,BATTISTI,D131,3,12
230,Piazza,BATTISTI,P428,3,12
6.413,Via,BAUER,D321,65,6
6.413,Via,BAUER,P416,65,6
5.776,Via,BECCARIA,D313,93,1
5.776,Via,BECCARIA,P2224,93,1
6.462,Via,BEDóL,D15,68,6
6.462,Via,BEDóL,P66,68,6
240,Via,BELENZANI,D153,2,12
240,Via,BELENZANI,P278,2,12
8.001,Via,BELINA,D123,98,3
8.001,Via,BELINA,P680,98,3
8.419,Via,BELLARIA,D119,96,2
8.419,Via,BELLARIA,P244,96,2
8.419,Via,BELLARIA,P4646,82,2
6.020,Via,BELLAVISTA,D143,69,6
6.020,Via,BELLAVISTA,P246,69,6
260,Vicolo,BELLESINI,D111,2,12
260,Vicolo,BELLESINI,P26,2,12
8.720,Via,BELVEDERE,D1121,72,5
8.720,Via,BELVEDERE,P282,72,5
270,Vicolo,BENASSUTI,D115,6,12
270,Vicolo,BENASSUTI,P28,6,12
5.735,Via,BENEDETTI,D19,86,1
5.735,Via,BENEDETTI,P420,86,1
280,Via,BENEVOLI,D111,31,11
280,Via,BENEVOLI,P222,31,11
6.483,Via,BERGAMINI,D315,66,6
6.483,Via,BERGAMINI,P410,66,6
8.730,Via,BERLINA,D133,73,5
8.730,Via,BERLINA,P236,73,5
281,Via,BERLINO,D1111,16,12
281,Via,BERLINO,P1010,16,12
8.311,Via,BERSALIO,D17,98,3
8.311,Via,BERSALIO,P22,98,3
6.465,Via,BERTOLDI,D33,64,6
6.465,Via,BERTOLDI,P46,64,6
3.509,Via,BETTINE,D59,84,1
3.509,Via,BETTINE,D2135,8,12
3.509,Via,BETTINE,P228,84,1
3.509,Via,BETTINE,P4074,8,12
290,Via,BETTINI,D113,45,10
290,Via,BETTINI,P624,45,10
300,Via,BEZZECCA,D115,23,11
300,Via,BEZZECCA,P224,23,11
310,Via,BEZZI,D17,25,11
310,Via,BEZZI,P210,25,11
6.040,Via,BIANCOSPINO,D121,70,6
6.040,Via,BIANCOSPINO,P226,70,6
7.030,Strada,BINDESI,D117,51,9
7.030,Strada,BINDESI,P414,51,9
320,Vicolo,BIRRI,D311,6,12
320,Vicolo,BIRRI,P22,6,12
CODICE,TIPO,DESCRIZIONE,P/D  DAL Nr.  DALLA barra  AL nr.,ALLA barra  SEZIONE,CIRC
330,Via,BóLGHERA,D367,35,10
330,Via,BóLGHERA,P254,35,10
340,Viale,BOLOGNINI,P298,36,10
5.070,Via,BOLZANO,D165,90,1
