"Sezione (liste)";"Cod. circoscrizione";"Circoscrizione";"Sezioni pervenute (liste)";"Sezioni totali (liste)";"Sindaco (liste)";"Voti solo sindaco (liste)";"Prog. lista (liste)";"Id lista (liste)";"Lista";"Voti lista"
1;12;"C.STORICO/PIEDICASTELLO";98;98;"MARTINI CARMEN";36;1;4062;"MOVIMENTO 5 STELLE";3
1;12;"C.STORICO/PIEDICASTELLO";98;98;"BRUNO FRANCO";36;2;4070;"MOVIMENTO LA CATENA";0
1;12;"C.STORICO/PIEDICASTELLO";98;98;"IANESELLI FRANCO";36;3;3775;"EUROPA VERDE TRENTO";7
1;12;"C.STORICO/PIEDICASTELLO";98;98;"IANESELLI FRANCO";36;4;3799;"INSIEME PER TRENTO";31
1;12;"C.STORICO/PIEDICASTELLO";98;98;"IANESELLI FRANCO";36;5;3798;"AZIONE - UNIONE";4
1;12;"C.STORICO/PIEDICASTELLO";98;98;"IANESELLI FRANCO";36;6;3801;"PATT";13
1;12;"C.STORICO/PIEDICASTELLO";98;98;"IANESELLI FRANCO";36;7;3802;"+TRENTOVIVA - IANESELLI SINDACO";11
1;12;"C.STORICO/PIEDICASTELLO";98;98;"IANESELLI FRANCO";36;8;3800;"TRENTO FUTURA - PARTECIPAZIONE E SOLIDARIETA'";20
1;12;"C.STORICO/PIEDICASTELLO";98;98;"IANESELLI FRANCO";36;9;3718;"PD PARTITO DEMOCRATICO DEL TRENTINO - PSI";54
1;12;"C.STORICO/PIEDICASTELLO";98;98;"PANTANO GIULIANO";36;10;3815;"RIFONDAZIONE PARTITO COMUNISTA";7
1;12;"C.STORICO/PIEDICASTELLO";98;98;"ZANETTI SILVIA";36;11;3822;"SI PUO' FARE";5
1;12;"C.STORICO/PIEDICASTELLO";98;98;"MERLER ANDREA";36;12;4004;"FORZA ITALIA";10
1;12;"C.STORICO/PIEDICASTELLO";98;98;"MERLER ANDREA";36;13;3884;"FRATELLI D'ITALIA - ALLEANZA NAZIONALE (A.N.)";13
1;12;"C.STORICO/PIEDICASTELLO";98;98;"MERLER ANDREA";36;14;3845;"TRENTO UNITA MERLER SINDACO";13
1;12;"C.STORICO/PIEDICASTELLO";98;98;"MERLER ANDREA";36;15;3776;"LEGA";27
1;12;"C.STORICO/PIEDICASTELLO";98;98;"CARLI MARCELLO";36;16;3953;"AGIRE PER IL TRENTINO";0
1;12;"C.STORICO/PIEDICASTELLO";98;98;"CARLI MARCELLO";36;17;3855;"RINASCIMENTO TRENTO CARLI SINDACO";7
1;12;"C.STORICO/PIEDICASTELLO";98;98;"CARLI MARCELLO";36;18;4024;"UNIONE DEI DEMOCRATICI CRISTIANI";2
1;12;"C.STORICO/PIEDICASTELLO";98;98;"DEGASPERI FILIPPO";36;19;3818;"ONDA CIVICA TRENTINO";6
2;12;"C.STORICO/PIEDICASTELLO";98;98;"MARTINI CARMEN";80;1;4062;"MOVIMENTO 5 STELLE";11
2;12;"C.STORICO/PIEDICASTELLO";98;98;"BRUNO FRANCO";80;2;4070;"MOVIMENTO LA CATENA";0
2;12;"C.STORICO/PIEDICASTELLO";98;98;"IANESELLI FRANCO";80;3;3775;"EUROPA VERDE TRENTO";26
2;12;"C.STORICO/PIEDICASTELLO";98;98;"IANESELLI FRANCO";80;4;3799;"INSIEME PER TRENTO";56
