"sezione";"cod_circoscrizione";"circoscrizione";"sezioni_pervenute";"sezioni _totali";"schede_bianche";"schede_nulle";"schede_contestate_non_attribuite";"prog_sindaco";"cognome_sindaco";"nome_sindaco";"detto _sindaco";"vedova_sindaco";"voti"
1;12;"C.STORICO/PIEDICASTELLO";98;98;1;3;0;1;"MARTINI";"CARMEN";;"N";3
1;12;"C.STORICO/PIEDICASTELLO";98;98;1;3;0;2;"BRUNO";"FRANCO";;"N";0
1;12;"C.STORICO/PIEDICASTELLO";98;98;1;3;0;3;"IANESELLI";"FRANCO";;"N";165
1;12;"C.STORICO/PIEDICASTELLO";98;98;1;3;0;4;"PANTANO";"GIULIANO";;"N";7
1;12;"C.STORICO/PIEDICASTELLO";98;98;1;3;0;5;"ZANETTI";"SILVIA";;"N";5
1;12;"C.STORICO/PIEDICASTELLO";98;98;1;3;0;6;"MERLER";"ANDREA";;"N";72
1;12;"C.STORICO/PIEDICASTELLO";98;98;1;3;0;7;"CARLI";"MARCELLO";;"N";10
1;12;"C.STORICO/PIEDICASTELLO";98;98;1;3;0;8;"DEGASPERI";"FILIPPO";;"N";7
2;12;"C.STORICO/PIEDICASTELLO";98;98;7;8;0;1;"MARTINI";"CARMEN";;"N";11
2;12;"C.STORICO/PIEDICASTELLO";98;98;7;8;0;2;"BRUNO";"FRANCO";;"N";0
2;12;"C.STORICO/PIEDICASTELLO";98;98;7;8;0;3;"IANESELLI";"FRANCO";;"N";350
2;12;"C.STORICO/PIEDICASTELLO";98;98;7;8;0;4;"PANTANO";"GIULIANO";;"N";7
2;12;"C.STORICO/PIEDICASTELLO";98;98;7;8;0;5;"ZANETTI";"SILVIA";;"N";12
2;12;"C.STORICO/PIEDICASTELLO";98;98;7;8;0;6;"MERLER";"ANDREA";;"N";155
2;12;"C.STORICO/PIEDICASTELLO";98;98;7;8;0;7;"CARLI";"MARCELLO";;"N";48
2;12;"C.STORICO/PIEDICASTELLO";98;98;7;8;0;8;"DEGASPERI";"FILIPPO";;"N";21
3;12;"C.STORICO/PIEDICASTELLO";98;98;15;10;0;1;"MARTINI";"CARMEN";;"N";12
3;12;"C.STORICO/PIEDICASTELLO";98;98;15;10;0;2;"BRUNO";"FRANCO";;"N";0
3;12;"C.STORICO/PIEDICASTELLO";98;98;15;10;0;3;"IANESELLI";"FRANCO";;"N";322
3;12;"C.STORICO/PIEDICASTELLO";98;98;15;10;0;4;"PANTANO";"GIULIANO";;"N";7
3;12;"C.STORICO/PIEDICASTELLO";98;98;15;10;0;5;"ZANETTI";"SILVIA";;"N";15
3;12;"C.STORICO/PIEDICASTELLO";98;98;15;10;0;6;"MERLER";"ANDREA";;"N";123
3;12;"C.STORICO/PIEDICASTELLO";98;98;15;10;0;7;"CARLI";"MARCELLO";;"N";34
3;12;"C.STORICO/PIEDICASTELLO";98;98;15;10;0;8;"DEGASPERI";"FILIPPO";;"N";17
4;12;"C.STORICO/PIEDICASTELLO";98;98;8;3;0;1;"MARTINI";"CARMEN";;"N";9
4;12;"C.STORICO/PIEDICASTELLO";98;98;8;3;0;2;"BRUNO";"FRANCO";;"N";1
4;12;"C.STORICO/PIEDICASTELLO";98;98;8;3;0;3;"IANESELLI";"FRANCO";;"N";369
4;12;"C.STORICO/PIEDICASTELLO";98;98;8;3;0;4;"PANTANO";"GIULIANO";;"N";7
4;12;"C.STORICO/PIEDICASTELLO";98;98;8;3;0;5;"ZANETTI";"SILVIA";;"N";14
4;12;"C.STORICO/PIEDICASTELLO";98;98;8;3;0;6;"MERLER";"ANDREA";;"N";190
4;12;"C.STORICO/PIEDICASTELLO";98;98;8;3;0;7;"CARLI";"MARCELLO";;"N";59
4;12;"C.STORICO/PIEDICASTELLO";98;98;8;3;0;8;"DEGASPERI";"FILIPPO";;"N";18
5;12;"C.STORICO/PIEDICASTELLO";98;98;9;12;0;1;"MARTINI";"CARMEN";;"N";13
5;12;"C.STORICO/PIEDICASTELLO";98;98;9;12;0;2;"BRUNO";"FRANCO";;"N";2
5;12;"C.STORICO/PIEDICASTELLO";98;98;9;12;0;3;"IANESELLI";"FRANCO";;"N";290
5;12;"C.STORICO/PIEDICASTELLO";98;98;9;12;0;4;"PANTANO";"GIULIANO";;"N";11
5;12;"C.STORICO/PIEDICASTELLO";98;98;9;12;0;5;"ZANETTI";"SILVIA";;"N";21
5;12;"C.STORICO/PIEDICASTELLO";98;98;9;12;0;6;"MERLER";"ANDREA";;"N";190
5;12;"C.STORICO/PIEDICASTELLO";98;98;9;12;0;7;"CARLI";"MARCELLO";;"N";28
5;12;"C.STORICO/PIEDICASTELLO";98;98;9;12;0;8;"DEGASPERI";"FILIPPO";;"N";5
6;12;"C.STORICO/PIEDICASTELLO";98;98;10;5;0;1;"MARTINI";"CARMEN";;"N";17
6;12;"C.STORICO/PIEDICASTELLO";98;98;10;5;0;2;"BRUNO";"FRANCO";;"N";0
6;12;"C.STORICO/PIEDICASTELLO";98;98;10;5;0;3;"IANESELLI";"FRANCO";;"N";349
