"reviews_count","bathrooms","property_type_id","currency","lng","id","city","date","localized_neighborhood","rate_type","is_superhost","amount_with_service_fee","bedrooms","monthly_price_factor","localized_city","lat","user_id","star_rating","can_instant_book","name","beds","amount","weekly_price_factor","nscrap","person_capacity","host_languages","is_host_highly_rated","is_new_listing","comune","pro_com"
0,"1","1","EUR","12.2138190000",33210741,"Casies","15/04/2019","NULL","nightly","False",80,1,"1.00","Casies","46.8039470000",239102399,"NULL","False","AT120-3",1,80,"1.000000","apr-19",2,"[]","False","True","Valle di Casies","21109"
0,"1","47","EUR","11.0989800000",25164192,"Lagundo","15/04/2019","NULL","nightly","False",158,1,"1.00","Lagundo","46.6888400000",178484793,"NULL","True","GroÃŸes, helles Apartment fÃ¼r Freunde und Familien",4,158,"1.000000","apr-19",4,"[]","False","False","Lagundo","21038"
5,"1","1","EUR","11.8466600000",31115034,"Colfosco","15/04/2019","NULL","nightly","True",64,0,"0.80","Colfosco","46.5516900000",25542626,"5","True","""COZY"" - New COCOON Apartment - Colfosco",1,64,"0.950000","apr-19",2,"[u'en', u'fr', u'de', u'it']","True","False","Corvara in Badia","21026"
2,"1","47","EUR","11.7707000000",30432635,"Selva di Val Gardena","15/04/2019","NULL","nightly","False",90,1,"1.00","Selva di Val Gardena","46.5451000000",98243071,"NULL","False","Monolocale FREA, nel cuore delle Dolomiti",3,90,"1.000000","apr-19",4,"[]","True","False","Selva di Val Gardena","21089"
0,"1","1","EUR","11.5680520000",27975174,"St.Ulrich im GrÃ¶dnertal","15/04/2019","NULL","nightly","False",83,2,"1.00","St.Ulrich im GrÃ¶dnertal","46.6101230000",131219477,"NULL","True","Lovely apartment w/ balcony and relaxing views",4,83,"1.000000","apr-19",5,"[u'en', u'de']","True","False","Laion","21039"
24,"1","1","EUR","11.0852550000",10095675,"Partschins","15/04/2019","NULL","nightly","True",50,1,"1.00","Partschins","46.6982270000",47246157,"5","True","Pretty small farm with 2 apartments (2-4 guests.)",2,50,"1.000000","apr-19",2,"[u'de', u'it']","True","False","Parcines","21062"
2,"1","1","EUR","11.0298800000",15388225,"Mione-corte Inferiore","15/04/2019","NULL","nightly","False",70,1,"0.55","Mione-corte Inferiore","46.4395600000",66779489,"NULL","True","Stanza in appartamento ammobiliato",3,70,"0.850000","apr-19",3,"[u'en']","True","False","Rumo","22163"
0,"1","1","EUR","10.8738400000",13273916,"Ponte Arche","15/04/2019","NULL","nightly","True",60,1,"0.75","Ponte Arche","46.0357400000",36013268,"NULL","False","Il piacere di stare assieme: natura,terme,sport",6,60,"1.000000","apr-19",6,"[u'en', u'fr']","True","False","Comano Terme","22228"
12,"1","1","EUR","11.2097400000",4596287,"Salorno","15/04/2019","NULL","nightly","False",40,1,"0.65","Salorno","46.2398700000",22595106,"4,5","False","Nice place between Bozen and Trento",2,40,"0.840000","apr-19",2,"[u'en', u'de', u'it', u'es']","False","False","Salorno","21076"
1,"1","1","EUR","11.8922940000",30689811,"Piccolino","15/04/2019","NULL","nightly","False",120,2,"0.50","Piccolino","46.6927030000",229717439,"NULL","False","Ad un passo dall'orto",4,120,"1.000000","apr-19",4,"[]","False","False","San Martino in Badia","21082"
12,"1","63","EUR","11.4328700000",27832717,"Deutschnofen","15/04/2019","NULL","nightly","True",33,1,"1.00","Deutschnofen","46.4196500000",209977854,"5","False","Sunnleitn-Hof Deutschnofen Appartment Steinbock",1,33,"1.000000","apr-19",2,"[]","True","False","Nova Ponente","21059"
0,"1","1","EUR","11.4313150000",7489447,"carano ","15/04/2019","NULL","nightly","False",120,2,"0.69","carano ","46.2905810000",592703,"NULL","False","Fratoscano house villaggio veronza dolomiti 4pax",4,120,"0.850000","apr-19",4,"[u'en', u'fr', u'it', u'es']","False","False","Carano","22041"
8,"1","1","EUR","11.4565300000",13102759,"varena","15/04/2019","NULL","nightly","False",65,2,"0.80","varena","46.3067800000",72719995,"5","False","Varena",3,65,"1.000000","apr-19",4,"[]","True","False","Varena","22211"
1,"1,5","1","EUR","11.8070700000",28253632,"San Martino di Castrozza","15/04/2019","NULL","nightly","False",100,3,"0.75","San Martino di Castrozza","46.2601700000",2237881,"NULL","True","Finestra sulle Dolomiti",6,100,"0.900000","apr-19",6,"[]","False","False","Primiero San Martino di Castrozza","22245"
0,"1","2","EUR","10.7420600000",31065609,"Val Maria-pur","15/04/2019","NULL","nightly","False",99,2,"1.00","Val Maria-pur","45.8734700000",98752826,"NULL","False","Ferienhaus am Ledrosee - Lago di Ledro",5,99,"1.000000","apr-19",6,"[]","False","False","Ledro","22229"
7,"3","36","EUR","10.8877800000",24325704,"Nago-torbole","15/04/2019","NULL","nightly","False",180,4,"1.00","Nago-torbole","45.8728200000",152153502,"4,5","True","Windsurfers & Bikers Home",9,180,"1.000000","apr-19",9,"[u'nl', u'en', u'fr', u'de', u'it']","False","False","Nago-Torbole","22124"
4,"1","1","EUR","11.1702900000",29307451,"Meran","15/04/2019","NULL","nightly","False",75,1,"1.00","Meran","46.6657900000",152307796,"5","False","Winkel Lounge - sehr zentral gelegen",1,75,"1.000000","apr-19",2,"[u'en', u'de', u'it']","True","False","Merano","21051"
